fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
STATFJORD ØST,36.80,4.00,2.10,0.00,44.79,0.70,0.10,0.80,0.00,2.32,31.12.2012,43672,05.11.2013
SVALIN,12.10,0.00,0.00,0.00,12.10,12.10,0.00,0.00,0.00,12.10,31.12.2012,22507971,05.11.2013
SYGNA,11.00,0.00,0.00,0.00,11.00,1.10,0.00,0.00,0.00,1.10,31.12.2012,104718,05.11.2013
TAMBAR,9.50,2.00,0.50,0.00,12.45,0.60,0.00,0.20,0.00,0.98,31.12.2012,1028599,05.11.2013
TAMBAR ØST,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,31.12.2012,4999528,05.11.2013
TOMMELITEN GAMMA,3.90,9.70,0.50,0.00,14.55,0.00,0.00,0.00,0.00,0.00,31.12.2012,43444,05.11.2013
TOR,24.30,10.90,1.20,0.00,37.48,0.40,0.10,0.00,0.00,0.50,31.12.2012,43520,05.11.2013
TORDIS,61.20,4.60,1.80,0.00,69.22,6.00,0.40,0.20,0.00,6.78,31.12.2012,43725,05.11.2013
TROLL,263.80,1432.80,27.50,1.50,1750.35,36.00,984.90,21.10,(2.80),1058.19,31.12.2012,46437,05.11.2013
TRYM,1.50,4.30,0.00,0.00,5.80,0.80,3.20,0.00,0.00,4.00,31.12.2012,18081500,05.11.2013
TUNE,3.30,18.30,0.20,0.00,21.98,0.00,0.00,0.00,0.00,0.00,31.12.2012,853376,05.11.2013
TYRIHANS,32.40,41.70,10.90,0.00,94.81,16.50,40.90,10.70,0.00,77.73,31.12.2012,3960848,05.11.2013
ULA,87.90,3.90,4.00,0.00,99.40,15.70,0.00,1.40,0.00,18.36,31.12.2012,43800,05.11.2013
URD,7.00,0.20,0.00,0.00,7.20,2.00,0.00,0.00,0.00,2.00,31.12.2012,2834734,05.11.2013
