fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.40,15.60,1.00,0.00,24.90,0.00,0.00,0.00,0.00,0.00,31.12.2013,43437,17.03.2014
ALVE,1.70,5.40,1.00,0.00,9.00,0.50,2.10,0.40,0.00,3.36,31.12.2013,4444332,17.03.2014
ALVHEIM,41.20,7.30,0.00,0.00,48.50,18.00,4.60,0.00,0.00,22.60,31.12.2013,2845712,17.03.2014
ATLA,0.30,1.20,0.00,0.00,1.50,0.20,1.10,0.00,0.00,1.30,31.12.2013,21106284,17.03.2014
BALDER,68.90,1.80,0.00,0.00,70.70,11.10,0.40,0.00,0.00,11.50,31.12.2013,43562,17.03.2014
BLANE,0.90,0.00,0.00,0.00,0.90,0.30,0.00,0.00,0.00,0.30,31.12.2013,3437650,17.03.2014
BRAGE,58.90,4.20,1.40,0.00,65.76,3.00,0.90,0.20,0.00,4.28,31.12.2013,43651,17.03.2014
BRYNHILD,3.60,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,3.60,31.12.2013,21123063,17.03.2014
BØYLA,3.40,0.20,0.00,0.00,3.60,3.40,0.20,0.00,0.00,3.60,31.12.2013,22492497,17.03.2014
COD,2.90,7.30,0.50,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2013,43785,17.03.2014
DRAUGEN,148.20,1.70,2.80,0.00,155.22,14.90,0.10,0.40,0.00,15.76,31.12.2013,43758,17.03.2014
EDDA,4.80,2.00,0.20,0.00,7.18,0.00,0.00,0.00,0.00,0.00,31.12.2013,43541,17.03.2014
EDVARD GRIEG,26.20,1.80,0.60,0.00,29.14,26.20,1.80,0.60,0.00,29.14,31.12.2013,21675433,17.03.2014
EKOFISK,563.30,161.60,15.00,0.00,753.40,117.50,19.10,1.90,0.00,140.21,31.12.2013,43506,17.03.2014
ELDFISK,135.60,45.40,4.00,0.00,188.60,33.20,5.70,0.10,0.00,39.09,31.12.2013,43527,17.03.2014
EMBLA,12.00,7.30,0.60,0.00,20.44,1.50,3.40,0.10,0.00,5.09,31.12.2013,43534,17.03.2014
ENOCH,0.40,0.00,0.00,0.00,0.40,0.10,0.00,0.00,0.00,0.10,31.12.2013,3437659,17.03.2014
FRAM,32.50,8.80,0.80,0.00,42.82,5.30,5.70,0.50,0.00,11.95,31.12.2013,1578840,17.03.2014
FRAM H-NORD,1.70,0.00,0.00,0.00,1.70,1.70,0.00,0.00,0.00,1.70,31.12.2013,23410947,17.03.2014
FRIGG,0.00,116.20,0.00,0.50,116.70,0.00,0.00,0.00,0.00,0.00,31.12.2013,43555,17.03.2014
FRØY,5.60,1.60,0.00,0.10,7.30,0.00,0.00,0.00,0.00,0.00,31.12.2013,43597,17.03.2014
GAUPE,0.20,0.40,0.00,0.00,0.60,0.00,0.10,0.00,0.00,0.10,31.12.2013,18161341,17.03.2014
GIMLE,3.00,1.40,0.30,0.00,4.97,0.30,0.70,0.20,0.00,1.38,31.12.2013,4005142,17.03.2014
GINA KROG,15.30,12.50,3.30,1.60,35.67,15.30,12.50,3.30,1.60,35.67,31.12.2013,23384544,17.03.2014
GJØA,11.80,34.10,9.00,0.00,63.00,4.80,25.30,7.10,0.00,43.59,31.12.2013,4467574,17.03.2014
GLITNE,8.90,0.00,0.00,0.00,8.90,0.00,0.00,0.00,0.00,0.00,31.12.2013,1272071,17.03.2014
GOLIAT,30.20,7.30,0.30,0.00,38.07,30.20,7.30,0.30,0.00,38.07,31.12.2013,5774394,17.03.2014
GRANE,131.80,0.00,0.00,0.00,131.80,37.70,0.00,0.00,0.00,37.70,31.12.2013,1035937,17.03.2014
GUDRUN,14.50,10.90,1.90,0.00,29.01,14.50,10.90,1.90,0.00,29.01,31.12.2013,18116481,17.03.2014
GULLFAKS,369.90,23.10,2.80,0.00,398.32,13.40,0.00,0.00,0.00,13.40,31.12.2013,43686,17.03.2014
GULLFAKS SØR,61.00,68.60,9.70,0.00,148.03,16.50,32.90,5.20,0.00,59.28,31.12.2013,43699,17.03.2014
GUNGNE,0.00,14.70,2.10,4.60,23.29,0.00,0.60,0.10,0.20,0.99,31.12.2013,43464,17.03.2014
GYDA,36.40,6.40,1.90,0.00,46.41,0.60,0.20,0.00,0.00,0.80,31.12.2013,43492,17.03.2014
HEIDRUN,183.30,47.30,2.20,0.00,234.78,37.80,31.80,1.70,0.00,72.83,31.12.2013,43771,17.03.2014
HEIMDAL,6.50,45.20,0.00,0.00,51.70,0.00,0.00,0.00,0.00,0.00,31.12.2013,43590,17.03.2014
HOD,10.30,1.80,0.40,0.00,12.86,0.70,0.10,0.10,0.00,0.99,31.12.2013,43485,17.03.2014
HULDRA,5.10,17.20,0.10,0.00,22.49,0.00,0.10,0.00,0.00,0.10,31.12.2013,97002,17.03.2014
HYME,3.50,0.60,0.10,0.00,4.29,3.20,0.50,0.10,0.00,3.89,31.12.2013,20474183,17.03.2014
ISLAY,0.00,0.10,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,31.12.2013,21105675,17.03.2014
IVAR AASEN,18.30,4.70,1.10,0.00,25.09,18.30,4.70,1.10,0.00,25.09,31.12.2013,23384520,17.03.2014
JETTE,1.50,0.00,0.00,0.00,1.50,1.30,0.00,0.00,0.00,1.30,31.12.2013,21613906,17.03.2014
JOTUN,23.60,1.10,0.00,0.00,24.70,0.70,0.20,0.00,0.00,0.90,31.12.2013,43604,17.03.2014
KNARR,11.20,0.40,1.10,0.00,13.69,11.20,0.40,1.10,0.00,13.69,31.12.2013,20460988,17.03.2014
