fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
KRISTIN,22.90,28.80,6.00,2.10,65.20,5.20,8.70,1.70,0.00,17.13,31.12.2013,1854729,17.03.2014
KVITEBJØRN,27.80,90.70,12.00,0.00,141.30,8.20,44.50,7.90,0.00,67.71,31.12.2013,1036101,17.03.2014
LILLE-FRIGG,1.30,2.20,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,31.12.2013,43583,17.03.2014
MARTIN LINGE,6.00,19.70,0.70,3.00,30.03,6.00,19.70,0.70,3.00,30.03,31.12.2013,21675447,17.03.2014
MARULK,0.50,7.20,0.70,0.00,9.03,0.50,6.40,0.60,0.00,8.04,31.12.2013,18212090,17.03.2014
MIKKEL,5.90,31.00,8.40,2.20,55.06,2.40,14.10,3.90,0.00,23.91,31.12.2013,1630514,17.03.2014
MIME,0.40,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,31.12.2013,43792,17.03.2014
MORVIN,10.50,4.70,1.40,0.00,17.86,5.50,3.50,1.20,0.00,11.28,31.12.2013,4966234,17.03.2014
MURCHISON,13.90,0.40,0.00,0.00,14.30,0.00,0.00,0.00,0.00,0.00,31.12.2013,43665,17.03.2014
NJORD,27.50,13.80,3.10,0.00,47.19,1.70,5.40,1.20,0.00,9.38,31.12.2013,43751,17.03.2014
NORDØST FRIGG,0.00,11.60,0.00,0.10,11.70,0.00,0.00,0.00,0.00,0.00,31.12.2013,43568,17.03.2014
NORNE,91.00,11.30,1.50,0.00,105.15,3.20,4.60,0.70,0.00,9.13,31.12.2013,43778,17.03.2014
ODIN,0.00,27.30,0.00,0.20,27.50,0.00,0.00,0.00,0.00,0.00,31.12.2013,43610,17.03.2014
ORMEN LANGE,0.00,314.60,0.00,17.40,332.00,0.00,194.50,0.00,8.20,202.70,31.12.2013,2762452,17.03.2014
OSEBERG,389.10,111.90,12.00,0.00,523.80,24.20,73.30,3.90,0.00,104.91,31.12.2013,43625,17.03.2014
OSEBERG SØR,64.10,16.70,1.60,0.00,83.84,17.70,7.70,0.90,0.00,27.11,31.12.2013,43645,17.03.2014
OSEBERG ØST,25.70,0.40,0.30,0.00,26.67,6.60,0.10,0.10,0.00,6.89,31.12.2013,43639,17.03.2014
OSELVAR,2.60,1.70,0.00,0.00,4.30,2.30,1.50,0.00,0.00,3.80,31.12.2013,5506919,17.03.2014
REV,0.70,2.70,0.00,0.00,3.40,0.00,0.10,0.00,0.00,0.10,31.12.2013,4467554,17.03.2014
RINGHORNE ØST,13.90,0.30,0.00,0.00,14.20,4.00,0.10,0.00,0.00,4.10,31.12.2013,3505505,17.03.2014
SIGYN,0.00,6.50,3.10,6.00,18.39,0.00,0.10,0.60,0.00,1.24,31.12.2013,1630100,17.03.2014
SKARV,13.90,44.50,5.40,0.00,68.66,11.70,41.50,5.00,0.00,62.70,31.12.2013,4704482,17.03.2014
SKIRNE,2.30,10.30,0.00,0.00,12.60,0.50,0.90,0.00,0.00,1.40,31.12.2013,2138816,17.03.2014
SKULD,9.50,0.80,0.10,0.00,10.49,8.90,0.70,0.10,0.00,9.79,31.12.2013,21350124,17.03.2014
SLEIPNER VEST,0.00,133.50,9.70,32.90,184.83,0.00,14.70,1.30,3.40,20.57,31.12.2013,43457,17.03.2014
SLEIPNER ØST,0.00,67.70,13.50,26.90,120.25,0.00,1.00,0.40,0.10,1.86,31.12.2013,43478,17.03.2014
SNORRE,257.20,6.60,4.70,0.00,272.73,66.90,0.30,0.10,0.00,67.39,31.12.2013,43718,17.03.2014
SNØHVIT,0.00,225.10,7.30,29.10,268.07,0.00,201.00,6.10,24.90,237.49,31.12.2013,2053062,17.03.2014
STATFJORD,573.00,79.50,24.00,1.30,699.40,5.30,12.10,6.70,0.60,30.73,31.12.2013,43658,17.03.2014
STATFJORD NORD,39.60,2.10,1.10,0.00,43.79,3.00,0.00,0.30,0.00,3.57,31.12.2013,43679,17.03.2014
STATFJORD ØST,36.60,4.10,2.20,0.00,44.88,0.20,0.20,0.80,0.00,1.92,31.12.2013,43672,17.03.2014
SVALIN,12.30,0.00,0.00,0.00,12.30,12.30,0.00,0.00,0.00,12.30,31.12.2013,22507971,17.03.2014
SYGNA,11.20,0.00,0.00,0.00,11.20,1.30,0.00,0.00,0.00,1.30,31.12.2013,104718,17.03.2014
TAMBAR,9.50,2.00,0.50,0.00,12.45,0.40,0.00,0.20,0.00,0.78,31.12.2013,1028599,17.03.2014
TAMBAR ØST,0.30,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,31.12.2013,4999528,17.03.2014
TOMMELITEN GAMMA,3.90,9.70,0.50,0.00,14.55,0.00,0.00,0.00,0.00,0.00,31.12.2013,43444,17.03.2014
TOR,24.40,11.30,1.20,0.00,37.98,0.30,0.40,0.00,0.00,0.70,31.12.2013,43520,17.03.2014
TORDIS,63.20,4.80,1.80,0.00,71.42,7.50,0.50,0.20,0.00,8.38,31.12.2013,43725,17.03.2014
TROLL,269.40,1432.80,27.40,1.50,1755.76,34.50,955.30,20.20,(2.80),1025.38,31.12.2013,46437,17.03.2014
TRYM,1.70,4.00,0.00,0.00,5.70,0.80,2.60,0.00,0.00,3.40,31.12.2013,18081500,17.03.2014
TUNE,3.30,18.50,0.20,0.00,22.18,0.00,0.00,0.00,0.00,0.00,31.12.2013,853376,17.03.2014
TYRIHANS,33.10,42.50,8.50,0.00,91.75,13.70,41.40,8.30,0.00,70.87,31.12.2013,3960848,17.03.2014
ULA,84.20,3.90,3.20,0.00,94.18,11.40,0.00,0.60,0.00,12.54,31.12.2013,43800,17.03.2014
URD,6.90,0.10,0.00,0.00,7.00,1.60,0.00,0.00,0.00,1.60,31.12.2013,2834734,17.03.2014
VALE,2.60,2.40,0.00,0.00,5.00,1.10,1.20,0.00,0.00,2.30,31.12.2013,1578893,17.03.2014
VALEMON,4.60,23.60,1.20,0.00,30.48,4.60,23.60,1.20,0.00,30.48,31.12.2013,20460969,17.03.2014
VALHALL,146.70,27.40,5.50,0.00,184.55,39.00,6.60,2.20,0.00,49.78,31.12.2013,43548,17.03.2014
VARG,16.10,1.00,0.30,0.00,17.67,0.60,1.00,0.30,0.00,2.17,31.12.2013,43451,17.03.2014
VEGA,7.90,15.60,4.70,0.00,32.43,5.40,12.30,3.90,0.00,25.11,31.12.2013,4467595,17.03.2014
VESLEFRIKK,54.40,5.20,1.80,0.00,63.02,1.50,2.80,0.50,0.00,5.25,31.12.2013,43618,17.03.2014
VEST EKOFISK,12.20,26.00,1.40,0.00,40.86,0.00,0.00,0.00,0.00,0.00,31.12.2013,43513,17.03.2014
VIGDIS,69.40,1.90,1.20,0.00,73.58,15.90,0.20,0.30,0.00,16.67,31.12.2013,43732,17.03.2014
VILJE,13.40,0.00,0.00,0.00,13.40,4.70,0.00,0.00,0.00,4.70,31.12.2013,3392471,17.03.2014
VISUND,34.90,52.30,6.20,0.00,98.98,11.50,44.70,5.70,0.00,67.03,31.12.2013,43745,17.03.2014
VISUND SØR,2.70,7.70,0.90,0.00,12.11,2.30,7.20,0.90,0.00,11.21,31.12.2013,20461008,17.03.2014
VOLUND,9.90,0.90,0.00,0.00,10.80,3.30,0.30,0.00,0.00,3.60,31.12.2013,4380167,17.03.2014
VOLVE,9.50,0.90,0.20,0.10,10.88,1.30,0.10,0.00,0.00,1.40,31.12.2013,3420717,17.03.2014
YME,18.50,0.00,0.00,0.00,18.50,10.60,0.00,0.00,0.00,10.60,31.12.2013,43807,17.03.2014
YTTERGRYTA,0.30,2.30,0.40,0.00,3.36,0.00,0.60,0.10,0.00,0.79,31.12.2013,4973114,17.03.2014
ØST FRIGG,0.00,9.20,0.00,0.10,9.30,0.00,0.00,0.00,0.00,0.00,31.12.2013,43576,17.03.2014
ÅSGARD,102.40,206.70,38.10,17.10,398.59,17.50,73.50,13.70,0.00,117.03,31.12.2013,43765,17.03.2014
AASTA HANSTEEN,0.00,45.10,0.00,0.90,46.00,0.00,45.10,0.00,0.90,46.00,31.12.2013,23395946,17.03.2014

